origin,destination,airline,travel_date,quote_date,fare_class,base_fare,airline_surcharge,statutory_taxes,airport_charges,taxes_fees,total_fare
DEL,BOM,SA1,2026-09-03,2026-09-01,ECONOMY_SAVER,3994.86,581.07,1597.94,1089.51,3268.52,7263.38
DEL,BOM,SA1,2026-09-03,2026-09-01,ECONOMY_FLEX,5700.6,829.18,2280.24,1554.71,4664.13,10364.73
DEL,BOM,SA1,2026-09-03,2026-09-01,BUSINESS,15121.1,2199.43,6048.44,4123.94,12371.81,27492.91
DEL,BOM,SA1,2026-09-07,2026-09-01,ECONOMY_SAVER,3832.39,557.44,1532.96,1045.2,3135.6,6967.99
DEL,BOM,SA1,2026-09-07,2026-09-01,ECONOMY_FLEX,5011.79,728.99,2004.72,1366.85,4100.56,9112.35
DEL,BOM,SA1,2026-09-07,2026-09-01,PREMIUM_ECONOMY,7475.23,1087.31,2990.09,2038.69,6116.09,13591.32
DEL,BOM,SA1,2026-09-07,2026-09-01,BUSINESS,14303.65,2080.53,5721.46,3900.99,11702.98,26006.63
DEL,BOM,SA1,2026-09-15,2026-09-01,ECONOMY_SAVER,3094.53,450.11,1237.81,843.97,2531.89,5626.42
DEL,BOM,SA1,2026-09-15,2026-09-01,ECONOMY_FLEX,3991.74,580.62,1596.69,1088.65,3265.96,7257.7
DEL,BOM,SA1,2026-09-15,2026-09-01,PREMIUM_ECONOMY,6695.39,973.88,2678.16,1826.01,5478.05,12173.44
DEL,BOM,SA1,2026-09-15,2026-09-01,BUSINESS,11630.13,1691.66,4652.05,3171.85,9515.56,21145.69
DEL,BOM,SA1,2026-09-16,2026-09-01,ECONOMY_SAVER,3004.21,436.98,1201.68,819.33,2457.99,5462.2
DEL,BOM,SA1,2026-09-16,2026-09-01,ECONOMY_FLEX,4263.48,620.14,1705.39,1162.78,3488.31,7751.79
DEL,BOM,SA1,2026-09-16,2026-09-01,PREMIUM_ECONOMY,6418.97,933.67,2567.59,1750.63,5251.89,11670.86
DEL,BOM,SA1,2026-09-16,2026-09-01,BUSINESS,11956.97,1739.2,4782.79,3260.99,9782.98,21739.95
DEL,BOM,SA1,2026-10-02,2026-09-01,ECONOMY_SAVER,2680.7,389.92,1072.28,731.1,2193.3,4874.0
DEL,BOM,SA1,2026-10-02,2026-09-01,ECONOMY_FLEX,3828.36,556.85,1531.34,1044.1,3132.29,6960.65
DEL,BOM,SA1,2026-10-02,2026-09-01,BUSINESS,10179.97,1480.72,4071.99,2776.36,8329.07,18509.04
BOM,DEL,SA1,2026-09-01,2026-09-01,ECONOMY_SAVER,4534.62,659.58,1813.85,1236.72,3710.15,8244.77
BOM,DEL,SA1,2026-09-01,2026-09-01,ECONOMY_FLEX,5970.55,868.44,2388.22,1628.33,4884.99,10855.54
BOM,DEL,SA1,2026-09-01,2026-09-01,BUSINESS,16520.77,2403.02,6608.31,4505.67,13517.0,30037.77
BOM,DEL,SA1,2026-09-08,2026-09-01,ECONOMY_SAVER,3494.41,508.28,1397.76,953.02,2859.06,6353.47
BOM,DEL,SA1,2026-09-08,2026-09-01,ECONOMY_FLEX,4842.38,704.35,1936.95,1320.64,3961.94,8804.32
BOM,DEL,SA1,2026-09-14,2026-09-01,ECONOMY_SAVER,3266.18,475.08,1306.47,890.78,2672.33,5938.51
BOM,DEL,SA1,2026-09-14,2026-09-01,ECONOMY_FLEX,4429.72,644.32,1771.89,1208.11,3624.32,8054.04
BOM,DEL,SA1,2026-09-26,2026-09-01,ECONOMY_SAVER,2845.68,413.92,1138.27,776.1,2328.29,5173.97
BOM,DEL,SA1,2026-09-26,2026-09-01,ECONOMY_FLEX,3599.08,523.5,1439.63,981.57,2944.7,6543.78
BOM,DEL,SA1,2026-09-26,2026-09-01,PREMIUM_ECONOMY,5376.44,782.03,2150.57,1466.3,4398.9,9775.34
BOM,DEL,SA1,2026-09-26,2026-09-01,BUSINESS,10713.75,1558.36,4285.5,2921.93,8765.79,19479.54
BOM,DEL,SA1,2026-10-28,2026-09-01,ECONOMY_SAVER,2305.24,335.31,922.09,628.7,1886.1,4191.34
BOM,DEL,SA1,2026-10-28,2026-09-01,ECONOMY_FLEX,3141.22,456.9,1256.49,856.7,2570.09,5711.31
BOM,DEL,SA1,2026-10-28,2026-09-01,PREMIUM_ECONOMY,4774.78,694.51,1909.91,1302.22,3906.64,8681.42
BOM,DEL,BW2,2026-09-02,2026-09-01,ECONOMY_SAVER,3868.1,562.63,1547.24,1054.94,3164.81,7032.91
BOM,DEL,BW2,2026-09-02,2026-09-01,ECONOMY_FLEX,5620.6,817.54,2248.24,1532.89,4598.67,10219.27
BOM,DEL,BW2,2026-09-02,2026-09-01,PREMIUM_ECONOMY,7942.02,1155.2,3176.81,2166.0,6498.01,14440.03
BOM,DEL,BW2,2026-09-02,2026-09-01,BUSINESS,14887.7,2165.48,5955.08,4060.28,12180.84,27068.54
BOM,DEL,BW2,2026-09-05,2026-09-01,ECONOMY_SAVER,3446.98,501.38,1378.79,940.09,2820.26,6267.24
BOM,DEL,BW2,2026-09-05,2026-09-01,ECONOMY_FLEX,4717.51,686.18,1887.0,1286.6,3859.78,8577.29
BOM,DEL,BW2,2026-09-05,2026-09-01,PREMIUM_ECONOMY,8008.76,1164.91,3203.5,2184.21,6552.62,14561.38
BOM,DEL,BW2,2026-09-11,2026-09-01,ECONOMY_SAVER,3461.18,503.44,1384.47,943.97,2831.88,6293.06
BOM,DEL,BW2,2026-09-11,2026-09-01,ECONOMY_FLEX,4797.78,697.86,1919.11,1308.49,3925.46,8723.24
BOM,DEL,BW2,2026-09-11,2026-09-01,BUSINESS,12752.68,1854.94,5101.07,3478.0,10434.01,23186.69
BOM,DEL,BW2,2026-10-01,2026-09-01,ECONOMY_SAVER,2447.74,356.03,979.09,667.57,2002.69,4450.43
BOM,DEL,BW2,2026-10-01,2026-09-01,ECONOMY_FLEX,3252.47,473.09,1300.99,887.03,2661.11,5913.58
BOM,DEL,BW2,2026-10-01,2026-09-01,PREMIUM_ECONOMY,5052.26,734.87,2020.9,1377.89,4133.66,9185.92
BOM,DEL,BW2,2026-10-01,2026-09-01,BUSINESS,9147.46,1330.54,3658.98,2494.76,7484.28,16631.74
BOM,DEL,BW2,2026-10-08,2026-09-01,ECONOMY_SAVER,2277.16,331.22,910.86,621.05,1863.13,4140.29
BOM,DEL,BW2,2026-10-08,2026-09-01,ECONOMY_FLEX,3040.78,442.3,1216.31,829.3,2487.91,5528.69
BOM,DEL,BW2,2026-10-08,2026-09-01,PREMIUM_ECONOMY,4813.04,700.08,1925.22,1312.65,3937.95,8750.99
BOM,DEL,BW2,2026-10-08,2026-09-01,BUSINESS,8282.28,1204.7,3312.91,2258.8,6776.41,15058.69
BOM,DEL,NS3,2026-09-04,2026-09-01,ECONOMY_SAVER,4963.11,721.91,1985.24,1353.57,4060.72,9023.83
BOM,DEL,NS3,2026-09-04,2026-09-01,ECONOMY_FLEX,7019.44,1021.01,2807.78,1914.39,5743.18,12762.62
BOM,DEL,NS3,2026-09-04,2026-09-01,PREMIUM_ECONOMY,10613.48,1543.78,4245.39,2894.58,8683.75,19297.23
BOM,DEL,NS3,2026-09-04,2026-09-01,BUSINESS,19829.53,2884.3,7931.81,5408.06,16224.17,36053.7
BOM,DEL,NS3,2026-09-06,2026-09-01,ECONOMY_SAVER,4461.42,648.93,1784.57,1216.76,3650.26,8111.68
BOM,DEL,NS3,2026-09-06,2026-09-01,ECONOMY_FLEX,6093.88,886.38,2437.55,1661.98,4985.91,11079.79
BOM,DEL,NS3,2026-09-06,2026-09-01,PREMIUM_ECONOMY,9488.79,1380.19,3795.52,2587.85,7763.56,17252.35
BOM,DEL,NS3,2026-09-06,2026-09-01,BUSINESS,18095.94,2632.14,7238.38,4935.25,14805.77,32901.71
BOM,DEL,NS3,2026-09-12,2026-09-01,ECONOMY_SAVER,3591.3,522.37,1436.52,979.44,2938.33,6529.63
BOM,DEL,NS3,2026-09-12,2026-09-01,ECONOMY_FLEX,4847.28,705.06,1938.91,1321.98,3965.95,8813.23
BOM,DEL,NS3,2026-09-12,2026-09-01,BUSINESS,13889.86,2020.34,5555.94,3788.15,11364.43,25254.29
BOM,DEL,NS3,2026-09-22,2026-09-01,ECONOMY_SAVER,2995.66,435.73,1198.26,817.0,2450.99,5446.65
BOM,DEL,NS3,2026-09-22,2026-09-01,ECONOMY_FLEX,4356.35,633.65,1742.54,1188.09,3564.28,7920.63
BOM,DEL,NS3,2026-10-05,2026-09-01,ECONOMY_SAVER,2770.84,403.03,1108.34,755.69,2267.06,5037.9
BOM,DEL,NS3,2026-10-05,2026-09-01,ECONOMY_FLEX,3966.26,576.91,1586.5,1081.71,3245.12,7211.38
BOM,DEL,NS3,2026-10-05,2026-09-01,PREMIUM_ECONOMY,6213.78,903.82,2485.51,1694.67,5084.0,11297.78
DEL,BLR,SA1,2026-09-04,2026-09-01,ECONOMY_SAVER,5315.18,773.12,2126.07,1449.6,4348.79,9663.97
DEL,BLR,SA1,2026-09-04,2026-09-01,ECONOMY_FLEX,7284.9,1059.62,2913.96,1986.8,5960.38,13245.28
DEL,BLR,SA1,2026-09-04,2026-09-01,PREMIUM_ECONOMY,10695.84,1555.76,4278.34,2917.05,8751.15,19446.99
DEL,BLR,SA1,2026-09-08,2026-09-01,ECONOMY_SAVER,4538.65,660.17,1815.46,1237.81,3713.44,8252.09
DEL,BLR,SA1,2026-09-08,2026-09-01,ECONOMY_FLEX,5638.15,820.09,2255.26,1537.68,4613.03,10251.18
